	CL2001032010AA	Call	p-value	CL2001032041AA	Call	p-value
302_at	64.89	A	0.72	188.94	A	0.52
303_at	203.59	A	0.22	45.87	A	0.56
304_at	22.21	A	0.56	130.56	A	0.14
305_g_at	147.78	A	0.34	27.93	A	0.91
306_s_at	2971.67	P	0	1609.56	P	0
307_at	1381.06	P	0.02	1385.8	P	0.01
308_f_at	173.66	A	0.48	131.57	A	0.5
309_f_at	115.06	A	0.64	36.18	A	0.77
310_s_at	52.97	A	0.73	17.28	A	0.92
311_s_at	14750.24	P	0	4959.9	P	0
312_s_at	150.78	P	0.03	194.93	P	0.02
313_at	18.09	A	0.91	18.41	A	0.89
31307_at	4.25	A	0.86	5.33	A	0.97
31308_at	14.3	A	0.72	9.27	A	0.84
31309_r_at	60.52	A	0.56	49.56	A	0.66
31310_at	33.91	A	0.95	31.58	A	0.86
31311_at	141.47	A	0.7	23.17	A	0.92
31312_at	72.4	A	0.73	48.07	A	0.75
31313_at	36.13	A	0.86	34.25	A	0.81
31314_at	179.43	A	0.23	25.1	A	0.77
31315_at	1258.07	P	0.01	753.46	P	0.02
31316_at	17.65	A	0.77	3.92	A	1
31317_r_at	409.79	A	0.18	171.35	A	0.18
31318_at	81.63	A	0.5	5.04	A	0.95
31319_at	296.77	A	0.15	119.46	A	0.46
31320_at	473.64	A	0.56	820.57	A	0.34
31321_at	156.64	A	0.16	51.51	A	0.36
31322_at	40.02	A	0.7	12.39	A	0.91
31323_r_at	68.27	A	0.96	38.65	A	0.99
31324_at	131.43	A	0.25	303.54	A	0.07
31325_at	55.63	A	0.93	65.13	A	0.86
31326_at	90.66	A	0.86	170.3	A	0.84
31327_at	42.78	A	0.87	9.27	A	0.87
31328_at	88.27	A	0.6	154.44	A	0.25
31329_at	19.13	A	0.66	4.75	A	0.85
31330_at	16348.31	P	0	11617.07	P	0
31331_at	109.33	A	0.54	20.26	A	0.8
31332_at	38.03	A	0.84	10.64	A	0.88
31333_at	24.92	A	0.86	14.61	A	0.77
31334_at	93.03	A	0.7	22.61	A	0.77
31335_at	171.07	A	0.48	122.18	A	0.52
31336_at	14.53	A	0.93	3.42	A	0.96
31337_at	317.42	A	0.58	270.86	A	0.48
31338_at	48.09	A	0.73	39.64	A	0.23
31339_at	33.44	A	0.94	17.75	A	0.99
31340_at	38.96	A	0.7	14.37	A	0.68
31341_at	137.47	A	0.64	359.63	A	0.6
31342_at	304.83	P	0.02	89.56	A	0.27
31343_at	4.73	A	0.99	2.38	A	1
31344_at	81.72	A	0.56	71.11	A	0.6
31345_at	91.38	A	0.14	72.79	A	0.2
31346_at	68.83	A	0.75	64.43	A	0.7
31347_at	107.87	A	0.52	154.12	A	0.54
31348_at	9.24	A	0.95	25.05	A	0.86
31349_at	57.49	A	0.8	72	A	0.73
31350_at	518.74	A	0.48	467.9	A	0.3
31351_at	13.42	A	0.98	32.26	A	0.9
31352_at	112.89	A	0.12	19.7	A	0.58
31353_f_at	503.67	A	0.14	379.16	A	0.25
31354_r_at	41.86	A	0.97	63.19	A	0.82
31355_at	30.15	A	0.87	41.82	A	0.68
31356_at	105.85	M	0.05	116.59	A	0.16
31357_at	63.4	A	0.58	17.91	A	0.7
31358_at	39.86	A	0.66	11.98	A	0.84
31359_at	4.99	A	0.99	4.09	A	0.97
31360_at	88.34	A	0.54	12.2	A	0.93
31361_at	21.64	A	0.95	18.46	A	0.9
31362_at	92.91	A	0.58	42.66	A	0.7
31363_at	106.9	A	0.48	120.14	A	0.4
31364_i_at	27.44	A	0.99	88.17	A	0.39
31365_f_at	118.9	P	0.03	70.48	A	0.16
31366_at	23.07	A	0.97	90.17	A	0.62
31367_at	52.56	A	0.78	77.87	A	0.8
31368_at	64.93	A	0.64	21.86	A	0.87
31369_at	7.82	A	0.96	7.35	A	0.94
31370_at	13.6	A	0.85	123.92	A	0.32
31371_at	127.91	A	0.38	33.65	A	0.46
31372_at	137	A	0.4	506.87	A	0.23
31373_at	28.01	A	0.73	123.82	A	0.48
31374_at	20.32	A	0.98	10.73	A	0.99
31375_at	42.58	A	0.46	108.51	A	0.48
31376_at	7.68	A	0.99	12.36	A	0.88
31377_r_at	86.14	A	0.52	73.96	A	0.58
31378_at	285.29	A	0.23	266.13	A	0.27
31379_at	109.57	A	0.16	105.01	A	0.28
31380_at	158.17	A	0.68	61.89	A	0.48
31381_at	41.67	A	0.82	40.14	A	0.82
31382_f_at	17.51	A	0.98	61.19	A	0.7
31383_at	43.24	A	0.4	7.58	A	0.91
31384_at	69.66	A	0.95	39.05	A	0.97
31385_at	25368.15	P	0	21458.35	P	0
31386_at	824.71	A	0.13	691.87	A	0.15
31387_at	149.23	A	0.66	77.15	A	0.68
31388_at	51.64	A	0.78	8.1	A	0.96
31389_at	103.02	A	0.25	150.08	A	0.12
31390_at	6.89	A	0.96	7.07	A	0.93
31391_at	789.66	A	0.19	1202.14	A	0.08
31392_r_at	109.67	A	0.27	43.45	A	0.5
31393_r_at	589.47	A	0.86	628.38	A	0.72
31394_at	20.7	A	0.93	19.11	A	0.73
31395_i_at	15.3	A	0.99	9.38	A	1
31396_r_at	413.78	A	0.66	676.1	A	0.62
31397_at	16.97	A	0.6	123.52	A	0.16
31398_at	71.58	A	0.66	52.86	A	0.58
31399_at	224.66	A	0.09	239.36	A	0.08
314_at	427.59	P	0	608.53	P	0
31400_at	4.65	A	0.97	10.58	A	0.84
31401_r_at	7.43	A	0.99	9.88	A	0.93
31402_at	191.57	A	0.2	174.68	A	0.15
31403_at	131.09	A	0.13	40.5	A	0.27
31404_at	133.87	A	0.7	99.39	A	0.72
31405_at	93.6	A	0.85	73.07	A	0.81
31406_at	110.16	A	0.97	131.33	A	0.98
31407_at	39.31	A	0.7	3.75	A	0.99
31408_at	103.98	A	0.18	93.93	A	0.5
31409_at	95.03	A	0.4	2.9	A	0.9
31410_at	977.05	A	0.07	720.05	A	0.09
31411_at	19.37	A	0.94	4.12	A	1
31412_at	30.58	A	0.93	14.23	A	0.75
31413_at	121.94	A	0.15	58.46	A	0.42
31414_at	358.44	A	0.34	415.1	A	0.25
31415_at	66.55	A	0.72	13.07	A	0.82
31416_at	84.9	A	0.6	24.46	A	0.96
31417_at	421.63	A	0.07	393.17	P	0.04
31418_at	96.13	A	0.16	67.83	A	0.25
31419_r_at	707.19	A	0.48	785.08	A	0.52
31420_at	13.27	A	0.93	22.57	A	0.91
31421_at	58.32	A	0.46	39.02	A	0.64
31422_at	50.71	A	0.75	24.85	A	0.75
31423_at	25.93	A	0.86	146.28	A	0.42
31424_at	59.44	A	0.82	68.96	A	0.75
31425_g_at	223.04	A	0.18	23.98	A	0.75
31426_at	558.14	A	0.2	462.9	A	0.09
31427_at	17.36	A	0.8	152.7	P	0.03
31428_at	20.11	A	0.96	44.7	A	0.8
31429_at	49.96	A	0.42	82.12	A	0.1
31430_at	19.14	A	0.58	15.77	A	0.6
31431_at	5648.26	P	0	2761.17	P	0
31432_g_at	3445.45	P	0	3408.54	P	0
31433_at	65.97	A	0.6	43.19	A	0.75
31434_at	250.93	A	0.32	170.69	A	0.27
31435_at	3.07	A	1	9.27	A	0.98
31436_s_at	78.71	A	0.48	184.43	A	0.46
31437_r_at	45.73	A	0.66	41.37	A	0.68
31438_s_at	2985.77	P	0	1706.9	P	0
31439_f_at	858.47	A	0.25	739.58	A	0.28
31440_at	136.19	A	0.62	170.51	A	0.5
31441_at	42.09	A	0.88	43.1	A	0.75
31442_at	45.63	A	0.81	16.24	A	0.98
31443_at	273.86	P	0.03	234.78	P	0.04
31444_s_at	24045.55	P	0	26895.87	P	0
31445_at	27.84	A	0.84	15	A	0.84
31446_s_at	191.91	A	0.48	35.07	A	0.89
31447_at	61.6	A	0.3	83.17	A	0.27
31448_s_at	5.94	A	0.98	5.01	A	0.99
31449_at	112.81	A	0.32	14.71	A	0.58
31450_s_at	37.57	A	0.72	14.34	A	0.95
31451_at	137.26	A	0.81	90.59	A	0.73
31452_at	149.23	A	0.07	15.79	A	0.81
31453_s_at	14.23	A	0.96	15.69	A	0.81
31454_f_at	62.48	A	0.5	34.8	A	0.52
31455_r_at	34.3	A	0.4	4.07	A	0.86
31456_at	61.84	A	0.56	189.01	A	0.14
31457_at	91.5	A	0.73	79.05	A	0.56
31458_at	279.61	A	0.34	82.05	A	0.77
31459_i_at	4.2	A	0.99	3.03	A	0.99
31460_f_at	134.19	A	0.36	83.34	A	0.42
31461_at	10.72	A	0.98	19.67	A	0.82
31462_f_at	14.29	A	1	14.89	A	0.99
31463_s_at	3366.07	P	0	3493.16	P	0
31464_at	42.45	A	0.6	14.56	A	0.92
31465_g_at	45.1	A	0.9	31.2	A	0.88
31466_at	39.21	A	0.48	9.83	A	0.73
31467_at	67.37	A	0.81	20.43	A	0.94
31468_f_at	175.72	A	0.44	35.06	A	0.72
31469_s_at	185.8	A	0.25	97.28	A	0.27
31470_at	17.47	A	0.96	6.24	A	0.99
31471_at	151.18	A	0.48	210.77	A	0.34
31472_s_at	1096.57	P	0.01	563.44	P	0.01
31473_s_at	2.7	A	0.91	8.23	A	0.77
31474_r_at	93.41	A	0.38	29.12	A	0.62
31475_at	143.53	A	0.46	126.31	A	0.27
31476_g_at	112.58	A	0.7	85.35	A	0.6
31477_at	471.6	A	0.07	537.94	P	0.03
31478_at	496.04	A	0.28	585.91	A	0.11
31479_f_at	119.94	A	0.46	59.41	A	0.56
31480_f_at	28.37	A	0.68	71.93	A	0.44
31481_s_at	7174.09	P	0	7058.13	P	0
31482_at	75.26	A	0.9	65.23	A	0.88
31483_g_at	30.92	A	0.91	25.58	A	0.87
31484_at	73.1	A	0.96	39.85	A	0.98
31485_at	92.86	A	0.38	79.89	A	0.44
31486_s_at	29.86	A	0.81	21.63	A	0.7
31487_at	108.11	A	0.42	40.31	A	0.56
31488_s_at	290.84	P	0	129.69	A	0.09
31489_at	4.63	A	0.97	2.16	A	0.98
31490_at	33.16	A	0.88	18.19	A	0.93
31491_s_at	103.48	A	0.46	118.95	A	0.46
31492_at	1921.42	P	0	1709.51	P	0
31493_s_at	125.99	A	0.56	7.35	A	0.93
31494_at	13.88	A	0.84	36.89	A	0.56
31495_at	600.79	A	0.15	450.22	A	0.27
31496_g_at	93.91	A	0.58	230.08	A	0.09
31497_at	358.3	A	0.07	361.91	M	0.05
31498_f_at	99.35	A	0.52	54.77	A	0.56
31499_s_at	1438.68	P	0	298.04	P	0.01
315_at	431.86	P	0.04	369.69	A	0.09
31500_at	142.1	A	0.72	83.47	A	0.92
31501_at	29.87	A	0.87	40.82	A	0.68
31502_at	581.53	A	0.23	383.9	A	0.3
31503_at	1490.85	M	0.05	934.14	A	0.09
31504_at	1017.32	P	0	1270.57	P	0
31505_at	15810.41	P	0	15022.88	P	0
31506_s_at	826.79	P	0.01	423.07	A	0.06
31507_at	33.69	A	0.75	19.59	A	0.95
31508_at	3989.68	P	0	4212.78	P	0
31509_at	8251.13	P	0	10675.23	P	0
31510_s_at	1249.65	P	0	1215.18	P	0
31511_at	10139.16	P	0	12338.55	P	0
31512_at	82.44	A	0.44	63.69	A	0.3
31513_at	22.17	A	0.95	29.18	A	0.9
31514_at	1197.49	M	0.04	1073.27	M	0.05
31515_at	68	A	0.98	43.35	A	0.97
31516_f_at	100.06	A	0.12	81.71	A	0.36
31517_f_at	54.52	A	0.6	8.63	A	0.98
31518_i_at	7.45	A	1	11.18	A	0.96
31519_f_at	178.08	P	0.03	163.73	P	0.01
31520_at	27.9	A	0.91	51.87	A	0.78
31521_f_at	182.67	A	0.42	123.05	A	0.66
31522_f_at	268.74	A	0.28	84.6	A	0.54
31523_f_at	411.42	P	0.04	37.76	A	0.4
31524_f_at	281.75	P	0.04	39.77	A	0.42
31525_s_at	24993	P	0	3523.15	P	0
31526_f_at	559.73	P	0	531.71	P	0
31527_at	15904.46	P	0	11965.4	P	0
31528_f_at	784.4	A	0.14	176.5	A	0.34
31529_at	102.47	A	0.25	24.45	A	0.56
31530_at	23.23	A	0.84	57.93	A	0.73
31531_g_at	147.07	A	0.22	120.33	A	0.1
31532_at	336.58	A	0.36	280.86	A	0.44
31533_s_at	48.07	A	0.44	168	A	0.34
31534_at	34.16	A	0.93	21.39	A	0.95
31535_i_at	194.13	M	0.05	192.26	A	0.14
31536_at	3842.02	P	0	4216.77	P	0
31537_at	136.89	A	0.28	114.25	A	0.3
31538_at	7430.44	P	0	11059.56	P	0
31539_r_at	6.26	A	0.87	2.56	A	0.98
31540_at	47.75	A	0.54	18.11	A	0.75
31541_at	17.43	A	0.72	14.03	A	0.72
31542_at	43.45	A	0.72	2.66	A	0.99
31543_at	18.91	A	0.97	14.93	A	0.99
31544_at	385.73	A	0.36	92.76	A	0.44
31545_at	18563.8	P	0	16922.53	P	0
31546_at	4799.27	P	0	5700.08	P	0
31547_at	14.68	A	0.93	14.19	A	0.89
31548_at	143	A	0.7	57.15	A	0.7
31549_at	40.08	A	0.7	26.94	A	0.73
31550_at	175.71	A	0.18	106.56	A	0.23
31551_at	65.65	A	0.8	63.43	A	0.64
31552_at	10.93	A	0.91	7.86	A	0.9
31553_at	16.71	A	1	9.59	A	1
31554_at	214.97	A	0.3	212.77	A	0.19
31555_at	125.1	A	0.7	42.1	A	0.75
31556_at	181.19	A	0.19	144.5	A	0.25
31557_at	34546.46	P	0	24126.9	P	0
31558_at	56.28	A	0.32	47.31	A	0.13
31559_at	565.41	P	0.02	423.61	P	0.02
31560_at	174.67	A	0.27	107.11	A	0.38
31561_at	14.04	A	0.81	14.47	A	0.93
31562_at	40.22	A	0.46	46.15	A	0.46
31563_at	9.85	A	1	9.57	A	0.99
31564_at	203.33	A	0.32	222.54	A	0.3
31565_at	37.41	A	0.66	36.61	A	0.7
31566_at	34.12	A	0.58	37.35	A	0.52
31567_at	282.41	A	0.38	195.93	A	0.42
31568_at	14689.42	P	0	12454.43	P	0
31569_at	69.74	A	0.95	42.08	A	0.87
31570_at	15.77	A	0.73	9.89	A	0.87
31571_at	70.57	A	0.2	44.15	A	0.44
31572_at	137.63	A	0.48	60.66	A	0.62
31573_at	4965.81	P	0	6247.29	P	0
31574_i_at	27.21	A	0.77	8.25	A	0.96
31575_f_at	137.32	A	0.4	362.03	A	0.09
31576_at	22.94	A	0.46	27.98	A	0.56
31577_at	73.34	A	0.42	53.86	A	0.42
31578_at	101.81	A	0.27	12.05	A	0.82
31579_at	24.38	A	0.95	79.69	A	0.73
31580_at	79.72	A	0.22	63.39	A	0.58
31581_at	70.5	A	0.62	23.93	A	0.4
31582_at	146.7	A	0.66	15.69	A	1
31583_at	9803.7	P	0	8870.57	P	0
31584_at	7610.28	P	0	6326.44	P	0
31585_at	33.63	A	0.92	27.66	A	0.95
31586_f_at	407.38	P	0.03	213.76	P	0.01
31587_at	501.75	A	0.13	465.15	A	0.08
31588_at	78.38	A	0.36	25.16	A	0.64
31589_at	56.97	A	0.46	11.08	A	0.77
31590_g_at	988.45	A	0.09	1203.04	P	0.04
31591_s_at	17.07	A	0.95	16.36	A	0.95
31592_at	64.19	A	0.78	18.29	A	0.87
31593_at	51.18	A	1	41.72	A	0.99
31594_at	1123.25	M	0.04	1364.26	P	0.03
31595_at	39.52	A	0.95	35.71	A	0.86
31596_f_at	3945.37	M	0.04	4225.85	P	0.01
31597_r_at	669.04	A	0.19	268.38	A	0.4
31598_s_at	196.56	A	0.38	97.33	A	0.48
31599_f_at	17.17	A	0.91	106.08	A	0.46
316_g_at	93.69	A	0.52	69.28	A	0.44
31600_s_at	346.15	P	0	372.48	P	0
31601_s_at	56.64	A	0.78	34.33	A	0.73
31602_at	73.69	A	0.8	286.93	A	0.3
31603_at	15.67	A	0.95	84.35	A	0.78
31604_at	77.69	A	0.95	46.74	A	0.96
31605_at	424.8	P	0.02	315.18	P	0.02
31606_at	24.32	A	0.84	7.75	A	0.92
31607_at	27.36	A	0.84	19.27	A	0.87
31608_g_at	668.66	P	0	382.52	M	0.05
31609_s_at	1485.02	P	0	3389.66	P	0
31610_at	519.14	A	0.07	253.87	A	0.14
31611_s_at	9.42	A	0.97	3.03	A	0.99
31612_at	16.21	A	0.99	8.35	A	0.99
31613_at	4.85	A	0.97	51.3	A	0.64
31614_at	115.37	A	0.22	91.98	A	0.22
31615_i_at	152.7	A	0.43	265.93	A	0.35
31616_r_at	40.55	A	0.54	61.06	A	0.46
31617_at	68.16	A	0.66	59.79	A	0.85
31618_at	47.4	A	0.68	149.96	A	0.6
31619_at	29.42	A	0.89	7.12	A	0.78
31620_at	101.74	A	0.46	185.15	A	0.38
31621_s_at	1832.49	P	0	216.41	A	0.15
31622_f_at	5546.87	P	0.01	4361.99	P	0.01
31623_f_at	5671.74	P	0	5465.82	P	0
31624_at	47.59	A	0.92	62.6	A	0.77
31625_at	31.16	A	0.64	3.75	A	0.97
31626_i_at	461.3	A	0.19	461.35	A	0.21
31627_f_at	467.87	A	0.14	458.44	A	0.36
31628_at	11.85	A	0.78	5.47	A	0.78
31629_at	97.95	A	0.09	67.81	A	0.19
31630_at	9.68	A	0.96	7.79	A	0.97
31631_f_at	57.02	A	0.62	17.32	A	0.72
31632_at	32.06	A	0.92	17.91	A	0.91
31633_g_at	231.41	A	0.09	66.76	A	0.84
31634_at	199.92	A	0.3	376.72	A	0.14
31635_g_at	28.35	A	0.75	37.99	A	0.62
31636_s_at	638.82	A	0.23	447.91	A	0.3
31637_s_at	639.01	A	0.52	1229.67	A	0.22
31638_at	1370.59	M	0.05	794.11	A	0.19
31639_f_at	19.69	A	0.91	18.85	A	0.91
31640_r_at	122.29	A	0.93	79.4	A	0.92
31641_s_at	563.39	A	0.32	147.37	A	0.42
31642_at	65.87	A	0.36	9.59	A	0.9
31643_at	18.7	A	0.98	6.09	A	1
31644_at	44.25	A	0.96	53.22	A	0.84
31645_at	234.87	A	0.18	49.33	A	0.44
31646_at	53.56	A	0.68	7.2	A	0.98
31647_at	100.5	A	0.78	74.76	A	0.7
31648_at	58.16	A	0.46	55.15	A	0.52
31649_at	8.34	A	0.98	5.48	A	1
31650_g_at	121.34	A	0.72	164.68	A	0.28
31651_at	12.8	A	0.87	4.13	A	0.84
31652_at	34.22	A	0.73	53.94	A	0.28
31653_at	113.08	A	0.52	124.11	A	0.13
31654_at	31.26	A	0.77	43.05	A	0.52
31655_at	394.22	A	0.1	51.41	A	0.32
31656_at	6.82	A	0.91	6.23	A	0.92
31657_at	17.72	A	0.88	3.94	A	1
31658_at	40.69	A	0.8	43.59	A	0.82
31659_at	191.52	A	0.18	276.93	A	0.3
31660_at	49.67	A	0.97	36.88	A	0.99
31661_at	56.36	A	0.91	122.72	A	0.64
31662_at	76.63	A	0.91	40.09	A	0.96
31663_at	172.09	A	0.28	173.97	A	0.32
31664_at	20.35	A	1	25.07	A	0.99
31665_s_at	48.57	A	0.54	43.62	A	0.68
31666_f_at	32.16	A	0.83	9.21	A	0.98
31667_r_at	732.16	A	0.23	450.61	A	0.32
31668_f_at	268.77	A	0.12	490.22	M	0.05
31669_s_at	358.92	A	0.16	139.58	A	0.25
31670_s_at	505.64	P	0	502.41	P	0
31671_at	879.2	P	0.04	698.35	A	0.1
31672_g_at	1134.53	P	0	659.47	P	0
31673_s_at	1117.09	P	0.01	1225.58	P	0.01
31674_s_at	35.74	A	0.95	32.3	A	0.93
31675_s_at	153.97	A	0.12	53.91	A	0.48
31676_at	10.82	A	0.96	29.23	A	0.82
31677_at	19.07	A	0.84	21.96	A	0.75
31678_at	30.19	A	0.81	9.74	A	0.96
31679_at	81.64	A	0.44	61.93	A	0.4
31680_at	987.61	P	0	1076.52	P	0
31681_at	541.43	A	0.25	694.13	A	0.3
31682_s_at	377.46	P	0.02	262	P	0.01
31683_at	54.27	A	0.42	15.19	A	0.52
31684_at	686.4	P	0.02	335.46	M	0.05
31685_at	91.65	A	0.85	306.64	A	0.44
31686_at	27.43	A	0.72	14.22	A	0.8
31687_f_at	25440.49	P	0	4375.97	P	0
31688_at	266.85	A	0.34	300.91	A	0.28
31689_at	105.92	A	0.19	22.72	A	0.54
31690_at	993.7	P	0.01	361.92	M	0.05
31691_g_at	672.34	P	0	420.84	P	0
31692_at	215.69	P	0.02	235.01	P	0
31693_f_at	168.26	A	0.5	157.63	A	0.66
31694_at	62.58	A	0.42	259.5	A	0.18
31695_g_at	97.68	A	0.25	64.97	A	0.28
31696_at	22.61	A	0.95	42.66	A	0.75
31697_s_at	28785.26	P	0	21987.44	P	0
31698_at	52.92	A	0.96	30.12	A	0.98
31699_at	278.64	P	0.01	169.78	P	0.02
317_at	6258.03	P	0	3491.52	P	0.01
31700_at	1590.67	P	0	1239.92	P	0
31701_r_at	535.54	A	0.13	206.98	A	0.09
31702_at	16.18	A	0.95	56.8	A	0.75
31703_at	82.85	A	0.25	51.17	A	0.38
31704_at	33.58	A	0.93	50.66	A	0.91
31705_at	43.55	A	0.87	42.92	A	0.95
31706_at	26.18	A	0.95	15.6	A	0.97
31707_at	100.77	A	0.58	13.56	A	0.82
31708_at	10970.84	P	0	8380.27	P	0
31709_at	135.34	A	0.84	176.82	A	0.78
31710_at	18.2	A	0.78	52.29	A	0.54
31711_at	28.89	A	0.94	22	A	0.97
31712_at	27.19	A	0.81	23.18	A	0.81
31713_s_at	66.85	A	0.8	67.54	A	0.86
31714_at	3.22	A	0.97	7.35	A	0.78
31715_at	473.13	A	0.2	478.78	A	0.18
31716_at	267.79	A	0.44	113.57	A	0.5
31717_at	12.71	A	0.99	18.66	A	0.92
31718_at	5.39	A	0.97	7.07	A	0.91
31719_at	16155.91	P	0	9178.66	P	0
31720_s_at	19252.83	P	0	7920.09	P	0
31721_at	8.84	A	0.87	3.47	A	0.96
31722_at	11259.07	P	0	11951.96	P	0
31723_at	27.96	A	0.68	9.62	A	0.95
31724_at	441.09	A	0.11	322.67	A	0.09
31725_s_at	9.42	A	0.99	8.05	A	0.98
31726_at	40.88	A	0.52	8.73	A	0.88
31727_at	401.94	A	0.16	251.57	A	0.27
31728_at	372.58	A	0.28	135.83	A	0.38
31729_at	14.53	A	0.95	10.17	A	0.97
31730_at	21.71	A	0.62	11.89	A	0.78
31731_at	88.34	A	0.7	47.48	A	0.87
31732_at	73.38	A	0.23	6.7	A	0.88
31733_at	307.18	A	0.27	27.55	A	0.75
31734_at	176.8	A	0.19	212.15	A	0.15
31735_at	10.62	A	0.8	7.67	A	0.89
31736_at	175.18	A	0.09	89.46	A	0.46
31737_at	193.81	A	0.12	86.14	P	0.03
31738_at	100.76	A	0.82	50.98	A	0.93
31739_at	35.29	A	0.9	50.47	A	0.81
31740_s_at	477.67	A	0.34	1082.21	A	0.14
31741_at	51.36	A	0.68	108.99	A	0.58
31742_at	201.42	A	0.54	292.19	A	0.34
31743_at	109.94	A	0.5	146.07	A	0.23
31744_at	52.95	A	0.42	17.85	A	0.73
31745_at	1058.31	A	0.27	1016.33	A	0.27
31746_at	118.29	A	0.27	13.67	A	0.81
31747_g_at	31.83	A	0.72	29.95	A	0.73
31748_at	43.38	A	0.98	28.35	A	0.98
31749_f_at	46.87	A	0.68	78.16	A	0.56
31750_at	66.57	A	0.77	14.66	A	0.99
31751_f_at	8.55	A	0.97	8.11	A	1
31752_at	16.21	A	0.95	18.1	A	0.93
31753_at	187.08	A	0.5	15.83	A	0.98
31754_at	17.56	A	0.95	15.52	A	0.84
31755_at	28.04	A	0.66	76.37	A	0.27
31756_at	70.49	A	0.18	16.97	A	0.77
31757_at	41.41	A	0.75	63.51	A	0.66
31758_at	147.27	A	0.4	29.41	A	0.68
31759_at	148.71	A	0.7	137.92	A	0.75
31760_at	26.35	A	0.86	27	A	0.82
31761_at	16.26	A	0.9	10.37	A	0.92
31762_at	100.84	A	0.7	11.41	A	0.98
31763_at	30.12	A	0.72	83.25	A	0.62
31764_at	14.64	A	0.82	19.27	A	0.64
31765_at	66.85	A	0.54	38.65	A	0.42
31766_s_at	35.57	A	0.84	63.68	A	0.62
31767_at	73.99	A	0.85	20.48	A	0.92
31768_at	11.64	A	0.77	11.49	A	0.93
31769_at	28.74	A	0.98	22.81	A	0.99
31770_at	44.1	A	0.8	12.86	A	0.99
31771_at	10.15	A	0.8	115.22	A	0.28
31772_at	55.81	A	0.93	62.8	A	0.91
31773_at	103.14	A	0.4	54.1	A	0.44
31774_at	82.25	A	0.46	13.93	A	0.82
31775_at	5136.65	P	0	5019.16	P	0
31776_at	164.18	A	0.34	220.32	A	0.13
31777_at	114.79	A	0.48	114.06	A	0.34
31778_at	73.76	A	0.86	71.09	A	0.75
31779_s_at	26.32	A	0.84	114.59	A	0.48
31780_f_at	235.41	A	0.11	271.61	A	0.11
31781_at	20.28	A	0.95	21.87	A	0.95
31782_at	197.61	P	0.04	173.91	P	0.03
31783_at	525.38	P	0.01	333.05	A	0.1
31784_at	60.88	A	0.96	49.52	A	0.98
31785_f_at	103	A	0.6	147.78	A	0.52
31786_at	18.49	A	0.44	125.91	P	0.03
31787_at	74.55	A	0.44	61.37	A	0.72
31788_at	259.38	A	0.14	73.31	A	0.54
31789_at	52.53	A	0.88	46.72	A	0.78
31790_at	214.52	A	0.1	205.97	A	0.08
31791_at	153.59	A	0.18	127.2	P	0.04
31792_at	884.46	P	0	508.73	P	0
31793_at	94.06	A	0.7	12.42	A	0.82
31794_at	207.41	P	0.03	173.9	P	0.01
31795_at	173.93	A	0.23	164.39	A	0.5
31796_at	87.62	A	0.44	19.9	A	0.85
31797_at	84.42	P	0.01	114.77	P	0.03
31798_at	163.88	A	0.38	28.85	A	0.8
31799_at	105.42	A	0.27	64.36	A	0.28
318_at	713.26	A	0.07	541.59	P	0.03
31800_at	417.98	P	0	334.63	P	0.02
31801_at	513.55	P	0.01	507.94	A	0.07
31802_at	1071.91	P	0.03	1087.65	P	0.01
31803_at	96.12	A	0.9	114.95	A	0.89
31804_f_at	3933.06	P	0	3689.34	P	0
31805_at	166.83	A	0.32	213.16	A	0.07
31806_at	49.3	A	0.97	41.16	A	0.8
31807_at	678.87	P	0.01	272.83	A	0.1
31808_at	115.24	A	0.23	49.72	A	0.36
31809_at	4.36	A	0.99	10.36	A	0.94
31810_g_at	417.5	M	0.04	183.58	A	0.23
31811_r_at	59.42	A	0.25	1.96	A	0.87
31812_at	625.21	P	0.01	357.6	P	0.02
31813_at	25.35	A	0.98	40.64	A	0.91
31814_i_at	40.81	A	0.96	57.01	A	0.9
31815_r_at	665.12	A	0.36	532.46	A	0.32
31816_at	1803.43	P	0	2458.78	P	0
31817_at	141.14	A	0.22	21.41	A	0.68
31818_at	47.83	A	0.9	78.22	A	0.68
31819_at	524.04	M	0.04	461.37	A	0.07
31820_at	1946.43	P	0	2151.45	P	0
31821_at	138.42	A	0.48	179.83	A	0.19
31822_at	509.16	A	0.08	628.96	P	0.03
31823_at	331.41	P	0	493.52	P	0
31824_at	134.71	A	0.14	87.98	A	0.7
31825_at	402.3	A	0.56	76.21	A	0.89
31826_at	1632.54	P	0	1321.11	P	0
31827_s_at	226.65	A	0.13	196.09	P	0.01
31828_r_at	140.53	A	0.52	139.71	A	0.52
31829_r_at	952.38	P	0	1193.17	P	0
31830_s_at	1685.34	P	0.04	3366.83	P	0.01
31831_at	854.7	P	0.04	1015.98	P	0.02
31832_at	30.25	A	0.58	56.34	A	0.46
31833_at	414.46	A	0.08	240.88	A	0.06
31834_r_at	34.3	A	0.7	30.2	A	0.73
31835_at	221.19	A	0.19	151.92	A	0.19
31836_at	118.42	A	0.07	64.52	A	0.2
31837_at	1102.54	A	0.18	1292.27	A	0.13
31838_at	60.58	A	0.07	6.82	A	0.71
31839_at	218.3	A	0.23	253.58	A	0.2
31840_at	233.04	A	0.44	143.71	A	0.54
31841_at	83.43	A	0.72	26.47	A	0.89
31842_at	443.96	A	0.23	325.65	A	0.28
31843_at	117.42	P	0.01	33.73	A	0.58
